A	B	sim
JX912252:Tunavirus	KY985004:Tunavirus	87.03231633881975
KP085586:Tunavirus	KX828710:Tunavirus	86.981055224963
LC516895:Tunavirus	MT682715:Tunavirus	86.94145180562276
MN296515:Tunavirus	OL960582:Tunavirus	86.85481795323605
HM035024:Tunavirus	OL960578:Tunavirus	86.85280155759176
KX828710:Tunavirus	OL960578:Tunavirus	86.7741028011092
MF093736:Tunavirus	query_UP30	86.76069244407259
KX828710:Tunavirus	MF093736:Tunavirus	86.74591558210372
HM035024:Tunavirus	OL960579:Tunavirus	86.74425963649308
KU194205:Tunavirus	MH051911:Tunavirus	86.70865953980051
KU194206:Tunavirus	LC516895:Tunavirus	86.60266944566916
MF093736:Tunavirus	OL960578:Tunavirus	86.59286345736558
KP085586:Tunavirus	MH051911:Tunavirus	86.53932293481182
LC516895:Tunavirus	OL960578:Tunavirus	86.52317747206197
KX828710:Tunavirus	MZ501092:Tunavirus	86.5083776701342
OL960578:Tunavirus	query_UP30	86.48976865626328
JX912252:Tunavirus	MF093736:Tunavirus	86.48878515764073
MH051911:Tunavirus	MH285980:Tunavirus	86.47794958185428
MH285980:Tunavirus	MN296515:Tunavirus	86.47385158656112
KU194206:Tunavirus	MH285980:Tunavirus	86.36363636363636
HM035024:Tunavirus	MN296515:Tunavirus	86.33059324551847
MF093736:Tunavirus	MT682715:Tunavirus	86.234913390319
MH051911:Tunavirus	OL960578:Tunavirus	86.1990859121751
MF468274:Tunavirus	OL960578:Tunavirus	86.17167926104062
KU194205:Tunavirus	MN296515:Tunavirus	86.08247935034342
MF468274:Tunavirus	MG049919:Tunavirus	86.01753256401366
KP085586:Tunavirus	MG049919:Tunavirus	85.99954302063361
KU194206:Tunavirus	KX828710:Tunavirus	85.97624276302655
MF093736:Tunavirus	OL960582:Tunavirus	85.9577577439199
KU194206:Tunavirus	OL960578:Tunavirus	85.89566769430472
LC516895:Tunavirus	MF468274:Tunavirus	85.88360461763331
KP085586:Tunavirus	KU194206:Tunavirus	85.87886140549645
KP085586:Tunavirus	LC516895:Tunavirus	85.8073137409376
KY985004:Tunavirus	MF093736:Tunavirus	85.79556857865371
KX828710:Tunavirus	OL800706:Tunavirus	85.73038976067677
JX912252:Tunavirus	KU194205:Tunavirus	85.73029251363411
KX828710:Tunavirus	MH051911:Tunavirus	85.6985709472182
MZ501092:Tunavirus	OL960582:Tunavirus	85.69786226102813
KY985004:Tunavirus	OL960578:Tunavirus	85.61202430966269
LC516895:Tunavirus	MG049919:Tunavirus	85.6106036536934
KX828710:Tunavirus	query_UP30	85.52587014125476
MN296515:Tunavirus	query_UP30	85.4038724623788
HM035024:Tunavirus	KY985004:Tunavirus	85.3993523744599
MN296515:Tunavirus	OP455115:Tunavirus	85.38923228522799
HM035024:Tunavirus	KX828710:Tunavirus	85.27955894993725
KY985004:Tunavirus	MF468274:Tunavirus	85.25796303183202
KU194205:Tunavirus	MZ501092:Tunavirus	85.12090755299035
OP094641:Tunavirus	OP455115:Tunavirus	85.0822059938545
JX912252:Tunavirus	KX828710:Tunavirus	85.07576357018516
KX828710:Tunavirus	MT682715:Tunavirus	85.05769741566733
MZ501092:Tunavirus	query_UP30	85.04988702937236
MF468274:Tunavirus	MZ501092:Tunavirus	85.04299418460162
OL960579:Tunavirus	query_UP30	85.02776697673954
MH051911:Tunavirus	OL960582:Tunavirus	85.01330853032267
HM035024:Tunavirus	LC516895:Tunavirus	84.97356911206101
KY985004:Tunavirus	query_UP30	84.9598673702513
MF468274:Tunavirus	MT682715:Tunavirus	84.9313314023369
KU194205:Tunavirus	OP455115:Tunavirus	84.8988611929601
MF093736:Tunavirus	MZ501092:Tunavirus	84.89816983603954
KP085586:Tunavirus	KU194205:Tunavirus	84.8825281105899
OL960582:Tunavirus	query_UP30	84.86717126005789
MF468274:Tunavirus	OL960579:Tunavirus	84.86239441646508
OL960578:Tunavirus	OL960579:Tunavirus	84.84790587762079
KX828710:Tunavirus	MF468274:Tunavirus	84.81501659155069
KP085586:Tunavirus	OL960579:Tunavirus	84.81416668323821
KU194205:Tunavirus	OL800706:Tunavirus	84.78102153279926
MF093736:Tunavirus	OL960579:Tunavirus	84.77466865949381
HM035024:Tunavirus	MG049919:Tunavirus	84.7667789710808
KU194205:Tunavirus	MF093736:Tunavirus	84.71575023299161
KX828710:Tunavirus	KY985004:Tunavirus	84.70393416298676
MZ501092:Tunavirus	OL960578:Tunavirus	84.69527689267132
LC516895:Tunavirus	OL960582:Tunavirus	84.67341415783578
MN296515:Tunavirus	OL960578:Tunavirus	84.65691063461209
MH051911:Tunavirus	OL960579:Tunavirus	84.65368630912823
KP085586:Tunavirus	MZ501092:Tunavirus	84.59437094346019
MZ501092:Tunavirus	OL960579:Tunavirus	84.56441181437953
HM035024:Tunavirus	OL960582:Tunavirus	84.5615073493144
LC516895:Tunavirus	query_UP30	84.52630947381053
KP085586:Tunavirus	OL960582:Tunavirus	84.51764565851336
KU194206:Tunavirus	MF093736:Tunavirus	84.50375279463431
MF093736:Tunavirus	MH051911:Tunavirus	84.47848748488872
KU194206:Tunavirus	OL960579:Tunavirus	84.473439701078
OL960578:Tunavirus	OL960582:Tunavirus	84.45666021326325
HM035024:Tunavirus	MH285980:Tunavirus	84.45013145661932
MG049919:Tunavirus	MN296515:Tunavirus	84.43501452494026
KP085586:Tunavirus	MH285980:Tunavirus	84.43119791719022
MN296515:Tunavirus	MT682715:Tunavirus	84.42036131271695
MH285980:Tunavirus	OP455115:Tunavirus	84.41273987742389
AY216660:Tunavirus	KU194206:Tunavirus	84.40546798830029
MF093736:Tunavirus	OQ223306:Tunavirus	84.40505728492205
KY985004:Tunavirus	OP455115:Tunavirus	84.37317372992362
OL800706:Tunavirus	OL960578:Tunavirus	84.33955953744338
HM035024:Tunavirus	KU194206:Tunavirus	84.26846413863933
MG049919:Tunavirus	query_UP30	84.25079194309964
KU194206:Tunavirus	query_UP30	84.23920693330116
HM035024:Tunavirus	OQ223306:Tunavirus	84.21754330522033
MF468274:Tunavirus	MH051911:Tunavirus	84.19365403892533
KX828710:Tunavirus	MG049919:Tunavirus	84.19152555784143
HM035024:Tunavirus	MZ501092:Tunavirus	84.17697044212865
MH051911:Tunavirus	query_UP30	84.155787120214
OL800706:Tunavirus	OL960582:Tunavirus	84.1431104205263
JX912252:Tunavirus	MH285980:Tunavirus	84.10792202073576
KX828710:Tunavirus	MN296515:Tunavirus	84.1058486431822
KU194206:Tunavirus	MF468274:Tunavirus	84.0889324309464
MG049919:Tunavirus	OL960578:Tunavirus	84.05236506852067
JX912252:Tunavirus	MG049919:Tunavirus	84.02041462256686
LC516895:Tunavirus	MH051911:Tunavirus	83.97564712202303
KP085586:Tunavirus	OL800706:Tunavirus	83.93655183470611
MH285980:Tunavirus	query_UP30	83.9364554563232
MN296515:Tunavirus	OL960579:Tunavirus	83.89267072856094
KX828710:Tunavirus	OL960579:Tunavirus	83.83836383974975
AY216660:Tunavirus	MZ501092:Tunavirus	83.8308357232298
JX912252:Tunavirus	KP085586:Tunavirus	83.80703549537557
KX828710:Tunavirus	OL960582:Tunavirus	83.78744037684795
OL800706:Tunavirus	OP094641:Tunavirus	83.76617518818848
OL800706:Tunavirus	OL960579:Tunavirus	83.76600035944645
MH051911:Tunavirus	MT682715:Tunavirus	83.75701063546667
JX912252:Tunavirus	OL960582:Tunavirus	83.745963401507
HM035024:Tunavirus	MT682715:Tunavirus	83.74410377358491
KY985004:Tunavirus	OL960579:Tunavirus	83.71520697517904
LC516895:Tunavirus	MN296515:Tunavirus	83.70373319267095
JX912252:Tunavirus	LC516895:Tunavirus	83.62092930897538
AY216660:Tunavirus	MH285980:Tunavirus	83.61640599543826
MG049919:Tunavirus	MT682715:Tunavirus	83.58894649339406
JX912252:Tunavirus	OL960578:Tunavirus	83.57412691395731
LC516895:Tunavirus	OL960579:Tunavirus	83.55608995061262
KU194206:Tunavirus	OL960582:Tunavirus	83.52252907701047
MT682715:Tunavirus	OL960578:Tunavirus	83.51802076359675
KU194206:Tunavirus	OP094641:Tunavirus	83.49547670150241
MH285980:Tunavirus	OP094641:Tunavirus	83.47913524384113
MH285980:Tunavirus	OL960578:Tunavirus	83.46449487554905
HM035024:Tunavirus	MH051911:Tunavirus	83.4598821957135
JX912252:Tunavirus	MT682715:Tunavirus	83.42662639816628
MF093736:Tunavirus	OL800706:Tunavirus	83.37406361904382
KX828710:Tunavirus	MH285980:Tunavirus	83.36936071414274
JX912252:Tunavirus	OP094641:Tunavirus	83.33002086852827
KY985004:Tunavirus	MG049919:Tunavirus	83.32798073063027
AY216660:Tunavirus	KY985004:Tunavirus	83.31563253135084
AY216660:Tunavirus	MH051911:Tunavirus	83.2755318076419
KP085586:Tunavirus	OQ223306:Tunavirus	83.2711059916986
KP085586:Tunavirus	MT682715:Tunavirus	83.26515690459252
AY216660:Tunavirus	JX912252:Tunavirus	83.25854227874592
MH051911:Tunavirus	OP455115:Tunavirus	83.2408070678128
KU194206:Tunavirus	OP455115:Tunavirus	83.23512316357004
OL800706:Tunavirus	OP455115:Tunavirus	83.23134395625307
KU194205:Tunavirus	KX828710:Tunavirus	83.22062469013386
JX912252:Tunavirus	OL960579:Tunavirus	83.20381717928666
JX912252:Tunavirus	MF468274:Tunavirus	83.11524936853053
AY216660:Tunavirus	OL800706:Tunavirus	83.11494544531844
KY985004:Tunavirus	LC516895:Tunavirus	83.10429596195696
MZ501092:Tunavirus	OP094641:Tunavirus	83.04976563279146
MG049919:Tunavirus	OL960582:Tunavirus	83.04875519696625
JX912252:Tunavirus	OP455115:Tunavirus	83.03445536689505
OL800706:Tunavirus	query_UP30	83.00392874009023
MF468274:Tunavirus	MH285980:Tunavirus	82.99974943623153
LC516895:Tunavirus	MZ501092:Tunavirus	82.97130330809087
HM035024:Tunavirus	OL800706:Tunavirus	82.92476332835078
AY216660:Tunavirus	OP094641:Tunavirus	82.8952423317225
MF468274:Tunavirus	OL800706:Tunavirus	82.87575430603844
KY985004:Tunavirus	OL960582:Tunavirus	82.8261370582282
MH051911:Tunavirus	OP094641:Tunavirus	82.81922096542935
MF093736:Tunavirus	MH285980:Tunavirus	82.81099903938521
MF093736:Tunavirus	OP455115:Tunavirus	82.55693890113382
MN296515:Tunavirus	OP094641:Tunavirus	82.54455258150956
KU194205:Tunavirus	OL960578:Tunavirus	82.53893108241503
KU194206:Tunavirus	MT682715:Tunavirus	82.5012161585275
KP085586:Tunavirus	OP455115:Tunavirus	82.49773105807493
KY985004:Tunavirus	OP094641:Tunavirus	82.42240283968296
JX912252:Tunavirus	query_UP30	82.4118901041978
MT682715:Tunavirus	MZ501092:Tunavirus	82.36467208340326
MH285980:Tunavirus	OL960579:Tunavirus	82.34221781503851
MG049919:Tunavirus	MZ501092:Tunavirus	82.3354244421504
MF468274:Tunavirus	OQ223306:Tunavirus	82.2980198019802
KU194205:Tunavirus	MG049919:Tunavirus	82.21120475954388
AY216660:Tunavirus	MN296515:Tunavirus	82.18064451056533
MZ501092:Tunavirus	OP455115:Tunavirus	82.17737917289487
MG049919:Tunavirus	OL960579:Tunavirus	82.16636803706307
LC516895:Tunavirus	OL800706:Tunavirus	82.1614909320328
KU194205:Tunavirus	OP094641:Tunavirus	82.09831035307245
KU194206:Tunavirus	MG049919:Tunavirus	82.07426632062288
KU194205:Tunavirus	query_UP30	82.0417049494667
MH285980:Tunavirus	OL960582:Tunavirus	81.89566451174548
HM035024:Tunavirus	JX912252:Tunavirus	81.83830140396985
MG049919:Tunavirus	MH051911:Tunavirus	81.78007254276257
MG049919:Tunavirus	OQ223306:Tunavirus	81.77638928709132
OQ223306:Tunavirus	query_UP30	81.75563322081827
HM035024:Tunavirus	OP455115:Tunavirus	81.73756930737262
MT682715:Tunavirus	query_UP30	81.73540863741293
AY216660:Tunavirus	OP455115:Tunavirus	81.70091116633331
HM035024:Tunavirus	KU194205:Tunavirus	81.67077724620886
MF468274:Tunavirus	OP455115:Tunavirus	81.51768578275872
MT682715:Tunavirus	OL800706:Tunavirus	81.47398499821408
KU194205:Tunavirus	MF468274:Tunavirus	81.45599348566549
KY985004:Tunavirus	OQ223306:Tunavirus	81.35727541756533
KY985004:Tunavirus	MT682715:Tunavirus	81.32592052861149
AY216660:Tunavirus	OL960578:Tunavirus	81.28527030342684
AY216660:Tunavirus	KX828710:Tunavirus	81.00877369501349
KU194205:Tunavirus	LC516895:Tunavirus	81.00750502657615
OL960578:Tunavirus	OP455115:Tunavirus	80.85496984002098
KX828710:Tunavirus	OQ223306:Tunavirus	80.82828302800819
MG049919:Tunavirus	OL800706:Tunavirus	80.82720643249768
AY216660:Tunavirus	MF093736:Tunavirus	80.53822937625755
OP455115:Tunavirus	query_UP30	80.52844227538203
MG049919:Tunavirus	MH285980:Tunavirus	80.40510788199032
KU194205:Tunavirus	OL960579:Tunavirus	80.40153627819736
OL960579:Tunavirus	OQ223306:Tunavirus	80.29526429320615
KX828710:Tunavirus	OP094641:Tunavirus	80.29514061413097
MG049919:Tunavirus	OP455115:Tunavirus	80.19561116075862
OL960578:Tunavirus	OQ223306:Tunavirus	80.05061409763299
MN296515:Tunavirus	OQ223306:Tunavirus	79.99326105484312
OL960579:Tunavirus	OP455115:Tunavirus	79.9250668336265
LC516895:Tunavirus	MH285980:Tunavirus	79.81414506730962
AY216660:Tunavirus	KP085586:Tunavirus	79.78169690231947
MF093736:Tunavirus	OP094641:Tunavirus	79.64269390512906
KP085586:Tunavirus	OP094641:Tunavirus	79.53826344735344
LC516895:Tunavirus	OQ223306:Tunavirus	79.4948642881953
OP094641:Tunavirus	OQ223306:Tunavirus	79.45269431338465
AY216660:Tunavirus	OL960579:Tunavirus	79.43122425756034
KU194205:Tunavirus	OL960582:Tunavirus	79.4212282317067
KU194205:Tunavirus	OQ223306:Tunavirus	79.31711184895188
KU194205:Tunavirus	MT682715:Tunavirus	79.25974141246782
KX828710:Tunavirus	OP455115:Tunavirus	79.24932975871313
OP455115:Tunavirus	OQ223306:Tunavirus	79.2298148975237
MZ501092:Tunavirus	OQ223306:Tunavirus	79.20804849735586
MH285980:Tunavirus	MT682715:Tunavirus	79.18105722049148
JX912252:Tunavirus	OQ223306:Tunavirus	79.09816211727254
HM035024:Tunavirus	OP094641:Tunavirus	79.09349904207903
OL960582:Tunavirus	OP455115:Tunavirus	79.0783903556168
OL960578:Tunavirus	OP094641:Tunavirus	79.01128631710715
AY216660:Tunavirus	LC516895:Tunavirus	78.82004767484142
OP094641:Tunavirus	query_UP30	78.7793258067099
MT682715:Tunavirus	OP455115:Tunavirus	78.76591248012483
MH285980:Tunavirus	OQ223306:Tunavirus	78.64838099810942
OL960579:Tunavirus	OP094641:Tunavirus	78.623076693554
AY216660:Tunavirus	OQ223306:Tunavirus	78.58960304928947
AY216660:Tunavirus	HM035024:Tunavirus	78.56819803612169
MF468274:Tunavirus	OP094641:Tunavirus	78.52529333903922
LC516895:Tunavirus	OP094641:Tunavirus	78.45101051413523
AY216660:Tunavirus	query_UP30	78.39059491233404
KU194206:Tunavirus	OQ223306:Tunavirus	78.30082314791719
OL960582:Tunavirus	OP094641:Tunavirus	78.25612430174526
AY216660:Tunavirus	MT682715:Tunavirus	78.18381948266374
LC516895:Tunavirus	OP455115:Tunavirus	78.17614576480673
AY216660:Tunavirus	MG049919:Tunavirus	78.12915040045075
AY216660:Tunavirus	MF468274:Tunavirus	78.09127459970375
OL800706:Tunavirus	OQ223306:Tunavirus	78.05775482121133
OL960582:Tunavirus	OQ223306:Tunavirus	77.96675419027501
MH051911:Tunavirus	OQ223306:Tunavirus	77.91007518499073
AY216660:Tunavirus	OL960582:Tunavirus	77.78291225074086
MG049919:Tunavirus	OP094641:Tunavirus	77.45205207194674
MT682715:Tunavirus	OP094641:Tunavirus	77.25075857161212
MT682715:Tunavirus	OQ223306:Tunavirus	77.18101006922593
